epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2616.83,1.01748,1.54276,0.6568,0.96175,0.90233,0.84741,0.89125,0.60983,0.89359,0.82862,0.87632,0.48969,1.15417,1.59021,0.77684,1.05683,0.00086934,0.00086934,0.00086934
60,2647.69,1.0098,1.53005,0.64532,0.95336,0.91149,0.86106,0.90186,0.6164,0.90721,0.84823,0.88998,0.49199,1.15158,1.58434,0.75624,1.05375,0.000855588,0.000855588,0.000855588
61,2698.18,1.01374,1.52797,0.64614,0.94925,0.90457,0.86587,0.89787,0.6164,0.9006,0.8495,0.88777,0.49356,1.14001,1.5926,0.75633,1.04963,0.000841835,0.000841835,0.000841835
62,2751.06,0.99633,1.5114,0.64162,0.95109,0.90943,0.86218,0.89657,0.6047,0.9149,0.84587,0.88849,0.49735,1.15097,1.57873,0.75612,1.05743,0.000828082,0.000828082,0.000828082
63,2782.24,0.99812,1.47448,0.63363,0.95486,0.90503,0.85197,0.89296,0.60977,0.9014,0.84531,0.88292,0.49518,1.1576,1.60721,0.74252,1.06125,0.000814329,0.000814329,0.000814329
64,2852.26,0.98054,1.47087,0.62442,0.94717,0.91918,0.85407,0.90202,0.61654,0.90677,0.84377,0.88806,0.49522,1.146,1.59964,0.75394,1.0516,0.000800577,0.000800577,0.000800577
65,2885.9,0.97198,1.46475,0.6163,0.94431,0.91278,0.85581,0.90237,0.6283,0.90248,0.84581,0.88913,0.49868,1.13894,1.60941,0.75423,1.05798,0.000786824,0.000786824,0.000786824
66,2912.21,0.9823,1.49169,0.63182,0.95105,0.9087,0.84922,0.89744,0.62205,0.89745,0.83665,0.88264,0.48976,1.14438,1.62872,0.76356,1.057,0.000773071,0.000773071,0.000773071
67,2939.53,0.98402,1.47385,0.6187,0.95122,0.90632,0.85545,0.90129,0.6209,0.91056,0.83528,0.88676,0.4888,1.16249,1.6703,0.74763,1.06069,0.000759318,0.000759318,0.000759318
68,2966.58,1.00883,1.51459,0.6308,0.95225,0.91397,0.85824,0.89872,0.61384,0.90706,0.85087,0.88628,0.5071,1.15126,1.59953,0.75878,1.05785,0.000745566,0.000745566,0.000745566
69,2993.56,0.98932,1.49618,0.62236,0.94815,0.91016,0.85528,0.90017,0.62292,0.89827,0.84195,0.8803,0.48233,1.15434,1.6805,0.75007,1.06391,0.000731813,0.000731813,0.000731813
70,3039.73,0.97182,1.49216,0.61221,0.94323,0.90951,0.85279,0.8983,0.62267,0.90115,0.84739,0.88999,0.50207,1.14784,1.6148,0.74563,1.06559,0.00071806,0.00071806,0.00071806
71,3065.57,0.96821,1.46144,0.60867,0.944,0.89032,0.87611,0.90182,0.62316,0.88961,0.86443,0.89493,0.5069,1.15288,1.58506,0.73061,1.05827,0.000704307,0.000704307,0.000704307
72,3090.83,0.96444,1.46819,0.60349,0.9472,0.88697,0.86942,0.90332,0.61777,0.88222,0.86619,0.89705,0.49794,1.15911,1.6106,0.74565,1.06827,0.000690555,0.000690555,0.000690555
73,3114.93,0.96604,1.46312,0.60082,0.93897,0.89616,0.86121,0.90106,0.62234,0.90037,0.85224,0.89766,0.5008,1.15225,1.57772,0.74394,1.05488,0.000676802,0.000676802,0.000676802
74,3178.76,0.96764,1.45053,0.60149,0.9403,0.91682,0.85474,0.90018,0.62305,0.91473,0.85134,0.89653,0.50969,1.15377,1.61355,0.75131,1.06617,0.000663049,0.000663049,0.000663049
75,3334.3,0.95406,1.4238,0.58909,0.93339,0.89881,0.85851,0.89397,0.61316,0.90405,0.8553,0.89805,0.49791,1.15233,1.58251,0.73632,1.0582,0.000649297,0.000649297,0.000649297
76,3363.54,0.9533,1.43761,0.5955,0.9376,0.89859,0.86789,0.90187,0.62956,0.89535,0.86086,0.89575,0.51476,1.15514,1.60121,0.7415,1.06742,0.000635544,0.000635544,0.000635544
77,3397.92,0.94861,1.43063,0.59475,0.94217,0.92532,0.83972,0.89885,0.63298,0.92155,0.83007,0.89215,0.51006,1.1439,1.61338,0.74908,1.05773,0.000621791,0.000621791,0.000621791
78,3428.42,0.94491,1.43613,0.59368,0.93966,0.90229,0.85137,0.89973,0.62613,0.8947,0.83472,0.884,0.49305,1.14478,1.66797,0.73647,1.06572,0.000608038,0.000608038,0.000608038
79,3475.51,0.9383,1.42853,0.58552,0.93659,0.90376,0.8447,0.89456,0.62765,0.90763,0.83936,0.89092,0.50013,1.1409,1.59537,0.73824,1.06473,0.000594286,0.000594286,0.000594286
80,3507.22,0.95114,1.43302,0.58945,0.93406,0.90109,0.84781,0.89081,0.61288,0.89943,0.8442,0.88968,0.50526,1.15306,1.61798,0.74031,1.07204,0.000580533,0.000580533,0.000580533
81,3549.37,0.94975,1.4049,0.5834,0.92834,0.90329,0.84652,0.891,0.62565,0.90761,0.8365,0.88785,0.50285,1.13308,1.57653,0.74785,1.06024,0.00056678,0.00056678,0.00056678
82,3577.71,0.94479,1.42393,0.58137,0.93821,0.90575,0.85137,0.89769,0.62707,0.89647,0.84288,0.88737,0.50591,1.12951,1.58261,0.75828,1.05322,0.000553027,0.000553027,0.000553027
83,3687.48,0.93752,1.41868,0.58418,0.93085,0.91471,0.85075,0.89529,0.6323,0.8935,0.84501,0.88156,0.5049,1.13737,1.62602,0.75816,1.05425,0.000539275,0.000539275,0.000539275
84,3709.9,0.91833,1.40394,0.56669,0.92473,0.91612,0.84787,0.89408,0.63092,0.91401,0.84535,0.88835,0.50609,1.1389,1.58039,0.76931,1.06186,0.000525522,0.000525522,0.000525522
85,3738.05,0.91042,1.39205,0.56774,0.92767,0.90127,0.86647,0.89463,0.62763,0.89793,0.85193,0.88104,0.49937,1.14967,1.63137,0.73599,1.07189,0.000511769,0.000511769,0.000511769
86,3759.13,0.90594,1.3859,0.56671,0.9218,0.89314,0.86139,0.89339,0.62675,0.90336,0.85743,0.89571,0.50906,1.15061,1.58791,0.73893,1.07248,0.000498016,0.000498016,0.000498016
87,3790.99,0.90598,1.38938,0.56102,0.92356,0.91334,0.8544,0.89956,0.62346,0.91717,0.85468,0.89832,0.51246,1.14803,1.57267,0.72793,1.07271,0.000484263,0.000484263,0.000484263
88,3812.31,0.92364,1.3984,0.57521,0.9265,0.92057,0.85437,0.90291,0.62674,0.91457,0.84195,0.88901,0.51344,1.16227,1.58771,0.73438,1.07362,0.000470511,0.000470511,0.000470511
89,3848.53,0.91481,1.39346,0.56293,0.92536,0.91037,0.85253,0.89704,0.62745,0.90594,0.84647,0.889,0.51721,1.14912,1.57188,0.7498,1.07427,0.000456758,0.000456758,0.000456758
90,3871.01,0.90174,1.38367,0.55924,0.9231,0.91261,0.85771,0.8966,0.62796,0.90344,0.85574,0.88835,0.51498,1.13935,1.57467,0.73841,1.06615,0.000443005,0.000443005,0.000443005
91,3899.86,0.89544,1.36377,0.55568,0.91749,0.89102,0.86409,0.89131,0.62751,0.88697,0.85881,0.88416,0.49677,1.14626,1.6256,0.74245,1.07193,0.000429253,0.000429253,0.000429253
92,3928.73,0.90314,1.37416,0.55299,0.917,0.89491,0.86167,0.89451,0.62933,0.90703,0.8457,0.89302,0.50281,1.1304,1.60827,0.73447,1.06514,0.0004155,0.0004155,0.0004155
93,3956.89,0.89433,1.37033,0.55578,0.91403,0.89596,0.8638,0.89325,0.63762,0.896,0.85839,0.88832,0.51176,1.14018,1.60781,0.73966,1.07265,0.000401747,0.000401747,0.000401747
